TrialNumber,TruePercentage,YourAnswer,Error
1,36.72,20,4.07
2,91.78,80,3.57
3,18.36,20,0.82
4,89.86,100,3.36
5,66.3,70,1.93
6,71.9,60,3.59
7,42.11,40,1.16
8,81.6,100,4.21
9,34.7,35,0
10,64.78,80,3.94
11,18.42,10,3.09
12,44.98,40,2.35
13,42.54,33,3.27
14,10.14,8,1.18
15,36.42,30,2.71
16,62.54,80,4.14
17,52.95,50,1.62
18,24.2,30,2.57
19,57.59,40,4.15
20,66.05,60,2.63
1,32.01,30,1.09
2,17.17,15,1.2
3,17.84,10,2.99
4,25.61,20,2.52
5,7.96,5,1.62
6,92.61,100,2.91
7,93.85,80,3.81
8,26.51,25,0.71
9,7.53,5,1.41
10,91.38,85,2.7
11,29.06,40,3.47
12,56.11,50,2.64
13,63.84,35,4.86
14,70.03,95,4.65
15,44.03,30,3.82
16,75.6,40,5.16
17,20.9,20,0.03
18,12.39,10,1.33
19,98.85,100,0.35
20,35.16,30,2.4
1,27.03,14,3.72
2,78.39,67,3.53
3,97.86,98,0
4,14.86,23,3.05
5,74.49,87,3.66
6,83.33,98,3.89
7,53.97,57,1.66
8,69.25,79,3.3
9,38.74,46,2.88
10,76.25,83,2.78
11,27.09,23,2.07
12,19.47,23,1.87
13,21.23,16,2.42
14,66.48,54,3.66
15,51.81,57,2.41
16,5.09,12,2.81
17,51.41,78,4.74
18,75.78,82,2.67
19,53.44,52,0.65
20,94.02,99,2.35
1,69.31,70,0
2,73.81,74,0
3,27.7,28,0
4,20.34,10,3.39
5,27.76,40,3.63
6,26.95,27,0
7,65.82,80,3.84
8,49.02,45,2.05
9,24.26,10,3.85
10,46.26,40,2.68
11,91.14,93,0.99
12,33.63,24,3.29
13,90.17,95,2.31
14,13.54,9,2.22
15,39.87,33,2.81
16,50.05,50,0
17,18.61,10,3.13
18,35.71,40,2.14
19,87.96,90,1.11
20,23.49,20,1.86
1,63.63,64,0
2,29.77,25,2.29
3,53.09,47,2.64
4,83.56,92,3.1
5,67.17,83,4
6,65.8,60,2.57
7,44.89,40,2.33
8,39.63,33,2.76
9,74.98,84,3.19
10,26.2,23,1.73
11,65.01,50,3.92
12,89.2,90,0
13,26.76,19,2.98
14,45.79,33,3.69
15,70.52,62,3.11
16,50.74,56,2.43
17,37.8,38,0
18,90.6,85,2.52
19,33.78,26,2.98
20,17.79,14,1.97
1,8.61,7,0.79
2,45.89,40,2.59
3,44.7,33,3.56
4,48.19,50,0.95
5,37.56,26,3.55
6,35.08,29,2.63
7,7.06,8,0.08
8,52.98,33,4.33
9,97.22,80,4.12
10,54.57,43,3.55
11,67.94,50,4.18
12,24.07,17,2.85
13,13.01,8,2.36
14,45.06,44,0.24
15,99.97,97,1.63
16,27.32,20,2.9
17,94.48,93,0.68
18,50.65,47,1.92
19,71.66,89,4.13
20,20.69,16,2.27
1,23.41,33,3.28
2,72.18,63,3.22
3,63.87,73,3.21
4,37.77,32,2.56
5,62.37,56,2.7
6,45.84,33,3.7
7,80.32,85,2.26
8,93.14,100,2.8
9,18.71,11,2.97
10,81.24,71,3.37
11,61.3,68,2.77
12,62.78,50,3.69
13,36.44,35,0.65
14,53.8,50,1.97
15,72.62,85,3.64
16,67.99,68,0
17,97,100,1.64
18,15.95,25,3.2
19,78.39,80,0.79
20,35.01,32,1.65
1,22.56,23,0
2,98.92,100,0.27
3,39.8,50,3.37
4,90.92,98,2.85
5,19.69,21,0.52
6,94.37,100,2.52
7,68.98,80,3.48
8,84.57,95,3.4
9,61.93,75,3.72
10,90.92,92,0.27
11,26.77,22,2.29
12,28.18,30,0.96
13,56.36,32,4.61
14,9.59,15,2.47
15,18.31,24,2.54
16,3.48,5,0.72
17,33.94,27,2.82
18,90.8,88,1.55
19,69.96,88,4.18
20,76.01,100,4.59
1,94.34,97,1.48
2,9.9,8.33,0.76
3,78.39,89,3.42
4,53.54,60,2.72
5,67.76,65,1.53
6,30.01,28,1.09
7,83.61,84,0
8,72.76,86,3.74
9,82.1,91,3.17
10,5.8,5,0
11,84.11,100,4
12,6.81,12.5,2.54
13,52.06,39,3.72
14,62.56,49,3.77
15,88.02,79,3.19
16,49.04,52,1.62
17,44.4,35,3.25
18,9.71,10,0
19,8.13,16.67,3.11
20,54.13,69,3.91
1,63.81,68,2.11
2,70.22,80,3.31
3,72.1,77,2.33
4,78.4,89,3.42
5,65.19,62,1.73
6,27.37,33,2.52
7,84.31,92,2.97
8,56.48,50,2.72
9,96.12,100,2
10,57.31,49,3.08
11,31.8,33,0.41
12,11.07,11,0
13,73.22,70,1.74
14,69.77,76,2.67
15,66.7,81,3.85
16,49.66,50,0
17,69.23,94,4.64
18,48.34,49,0
19,18.99,26,2.83
20,81.55,99,4.14
