Chart Type,Input Percent,Actual Percent,Error
Tree Map,80,93,3.714246
Bar Chart,75,71,2.044394
Pie Chart,30,40,3.33985
Tree Map,50,65,3.918863
Pie Chart,80,91,3.475733
Tree Map,50,61,3.475733
Tree Map,50,59,3.189825
Bar Chart,50,56,2.61471
Pie Chart,30,36,2.61471
Bar Chart,50,56,2.61471
Tree Map,80,78,1.087463
Tree Map,95,98,1.643856
Bar Chart,33,33,0
Bar Chart,45,45,0
Bar Chart,90,92,1.087463
Pie Chart,80,68,3.599913
Bar Chart,80,85,2.357552
Bar Chart,50,55,2.357552
Bar Chart,90,89,0.169925
Tree Map,90,78,3.599913
Pie Chart,25,34,3.189825
Bar Chart,90,88,1.087463
Bar Chart,50,48,1.087463
Tree Map,40,42,1.087463
Bar Chart,35,40,2.357552
Bar Chart,90,86,2.044394
Pie Chart,40,47,2.83289
Tree Map,25,26,0.169925
Pie Chart,95,95,0
Pie Chart,50,48,1.087463
Pie Chart,60,67,2.83289
Pie Chart,80,83,1.643856
Bar Chart,80,78,1.087463
Pie Chart,80,75,2.357552
Tree Map,80,79,0.169925
Tree Map,65,59,2.61471
Bar Chart,80,90,3.33985
Bar Chart,30,32,1.087463
Tree Map,25,29,2.044394
Pie Chart,35,44,3.189825
Bar Chart,50,65,3.918863
Bar Chart,85,90,2.357552
Bar Chart,65,62,1.643856
Bar Chart,75,67,3.022368
Pie Chart,75,71,2.044394
Tree Map,100,98,1.087463
Pie Chart,90,91,0.169925
Pie Chart,80,87,2.83289
Tree Map,30,39,3.189825
Pie Chart,80,81,0.169925
Pie Chart,50,50,0
Tree Map,40,49,3.189825
Pie Chart,50,43,2.83289
Pie Chart,20,21,0.169925
Tree Map,90,91,0.169925
Pie Chart,90,71,4.257388
Tree Map,33,43,3.33985
Tree Map,50,63,3.714246
Tree Map,80,71,3.189825
Tree Map,80,91,3.475733
Tree Map,40,32,3.022368
Tree Map,98,98,0
Bar Chart,90,87,1.643856
Bar Chart,33,29,2.044394
Pie Chart,45,38,2.83289
Pie Chart,50,41,3.189825
Pie Chart,50,38,3.599913
Bar Chart,80,72,3.022368
Tree Map,60,65,2.357552
Tree Map,30,34,2.044394
Pie Chart,95,93,1.087463
Pie Chart,100,100,0
Pie Chart,90,87,1.643856
Tree Map,70,63,2.83289
Tree Map,70,74,2.044394
Tree Map,80,89,3.189825
Bar Chart,100,99,0.169925
Tree Map,60,66,2.61471
Pie Chart,90,88,1.087463
Pie Chart,80,59,4.400879
Tree Map,25,25,0
Tree Map,90,88,1.087463
Bar Chart,75,73,1.087463
Tree Map,40,44,2.044394
Pie Chart,80,85,2.357552
Pie Chart,60,54,2.61471
Tree Map,75,90,3.918863
Pie Chart,33,38,2.357552
Bar Chart,75,64,3.475733
Pie Chart,90,77,3.714246
Pie Chart,40,33,2.83289
