trialNum,Vis Type,Reported Percent,True Percent,Error
1,Bar Chart,80,77,1.64385619
2,Donut Chart,90,96,2.614709844
3,Donut Chart,5,2,1.64385619
4,Pie Chart,50,52,1.087462841
5,Pie Chart,33,57,4.592457037
6,Stack Chart,25,36,3.475733431
7,Pie Chart,20,20,0
8,Stack Chart,66,84,4.17990909
9,Pie Chart,33,42,3.189824559
10,Donut Chart,10,11,0.169925001
11,Donut Chart,50,66,4.011227255
12,Donut Chart,66,79,3.714245518
13,Pie Chart,33,40,2.832890014
14,Stack Chart,33,46,3.714245518
15,Bar Chart,40,42,1.087462841
16,Donut Chart,95,87,3.022367813
17,Donut Chart,70,70,0
18,Bar Chart,66,62,2.044394119
19,Donut Chart,80,86,2.614709844
20,Donut Chart,33,40,2.832890014
21,Bar Chart,20,25,2.357552005
22,Pie Chart,15,19,2.044394119
23,Stack Chart,50,65,3.918863237
24,Donut Chart,10,11,0.169925001
25,Pie Chart,95,94,0.169925001
26,Stack Chart,60,71,3.475733431
27,Bar Chart,50,53,1.64385619
28,Pie Chart,66,79,3.714245518
29,Stack Chart,40,62,4.46760555
30,Donut Chart,80,73,2.832890014
31,Bar Chart,45,50,2.357552005
32,Donut Chart,50,64,3.820178962
33,Donut Chart,15,17,1.087462841
34,Stack Chart,50,63,3.714245518
35,Bar Chart,80,80,0
36,Bar Chart,60,62,1.087462841
37,Bar Chart,99,98,0.169925001
38,Donut Chart,66,75,3.189824559
39,Donut Chart,33,43,3.339850003
40,Pie Chart,40,40,0
41,Pie Chart,33,34,0.169925001
42,Donut Chart,5,3,1.087462841
43,Bar Chart,85,84,0.169925001
44,Bar Chart,25,31,2.614709844
45,Donut Chart,10,9,0.169925001
46,Bar Chart,95,95,0
47,Bar Chart,10,11,0.169925001
48,Bar Chart,40,46,2.614709844
49,Bar Chart,25,23,1.087462841
50,Pie Chart,40,44,2.044394119
51,Bar Chart,20,23,1.64385619
52,Bar Chart,90,92,1.087462841
53,Bar Chart,15,16,0.169925001
54,Stack Chart,60,70,3.339850003
55,Stack Chart,15,19,2.044394119
56,Stack Chart,25,41,4.011227255
57,Pie Chart,15,13,1.087462841
58,Pie Chart,50,47,1.64385619
59,Bar Chart,40,45,2.357552005
60,Donut Chart,33,36,1.64385619
61,Donut Chart,90,95,2.357552005
62,Stack Chart,66,74,3.022367813
63,Donut Chart,90,98,3.022367813
64,Bar Chart,85,85,0
65,Stack Chart,90,90,0
66,Stack Chart,20,20,0
67,Stack Chart,25,31,2.614709844
68,Stack Chart,15,24,3.189824559
69,Pie Chart,5,4,0.169925001
70,Stack Chart,80,93,3.714245518
71,Pie Chart,20,30,3.339850003
72,Pie Chart,45,41,2.044394119
73,Stack Chart,95,92,1.64385619
74,Pie Chart,10,8,1.087462841
75,Pie Chart,55,57,1.087462841
76,Stack Chart,50,44,2.614709844
77,Stack Chart,50,57,2.832890014
78,Pie Chart,60,63,1.64385619
79,Stack Chart,8,5,1.64385619
80,Pie Chart,5,5,0
1,Donut Chart,10,9,0.169925001
2,Donut Chart,90,66,4.592457037
3,Stack Chart,99,100,0.169925001
4,Stack Chart,80,57,4.531381461
5,Bar Chart,45,36,3.189824559
6,Pie Chart,40,29,3.475733431
7,Donut Chart,80,82,1.087462841
8,Bar Chart,70,67,1.64385619
9,Donut Chart,40,41,0.169925001
10,Bar Chart,9,4,2.357552005
11,Donut Chart,18,18,0
12,Stack Chart,20,20,0
13,Bar Chart,20,21,0.169925001
14,Stack Chart,30,38,3.022367813
15,Stack Chart,80,98,4.17990909
16,Donut Chart,20,31,3.475733431
17,Donut Chart,20,24,2.044394119
18,Pie Chart,45,51,2.614709844
19,Stack Chart,88,82,2.614709844
20,Bar Chart,85,81,2.044394119
21,Donut Chart,99,94,2.357552005
22,Pie Chart,66,52,3.820178962
23,Donut Chart,10,11,0.169925001
24,Donut Chart,3,1,1.087462841
25,Bar Chart,5,5,0
26,Donut Chart,90,78,3.599912842
27,Donut Chart,10,20,3.339850003
28,Bar Chart,40,43,1.64385619
29,Bar Chart,70,64,2.614709844
30,Stack Chart,20,13,2.832890014
31,Pie Chart,20,27,2.832890014
32,Stack Chart,80,72,3.022367813
33,Bar Chart,99,96,1.64385619
34,Pie Chart,80,81,0.169925001
35,Pie Chart,90,65,4.651051691
36,Stack Chart,50,63,3.714245518
37,Pie Chart,90,71,4.257387843
38,Pie Chart,30,21,3.189824559
39,Pie Chart,80,72,3.022367813
40,Stack Chart,90,92,1.087462841
41,Pie Chart,40,57,4.098032083
42,Donut Chart,90,74,4.011227255
43,Bar Chart,10,4,2.614709844
44,Stack Chart,90,61,4.864186145
45,Pie Chart,20,19,0.169925001
46,Bar Chart,80,73,2.832890014
47,Bar Chart,40,43,1.64385619
48,Stack Chart,30,46,4.011227255
49,Bar Chart,90,92,1.087462841
50,Donut Chart,55,54,0.169925001
51,Stack Chart,69,66,1.64385619
52,Bar Chart,10,8,1.087462841
53,Pie Chart,25,19,2.614709844
54,Donut Chart,20,23,1.64385619
55,Bar Chart,33,30,1.64385619
56,Donut Chart,50,50,0
57,Pie Chart,99,100,0.169925001
58,Bar Chart,60,57,1.64385619
59,Pie Chart,79,51,4.813781191
60,Stack Chart,29,41,3.599912842
61,Pie Chart,33,23,3.339850003
62,Pie Chart,80,89,3.189824559
63,Bar Chart,55,53,1.087462841
64,Stack Chart,80,90,3.339850003
65,Donut Chart,33,29,2.044394119
66,Bar Chart,99,98,0.169925001
67,Bar Chart,80,82,1.087462841
68,Pie Chart,10,13,1.64385619
69,Stack Chart,39,46,2.832890014
70,Stack Chart,23,29,2.614709844
71,Bar Chart,99,100,0.169925001
72,Stack Chart,80,75,2.357552005
73,Donut Chart,22,43,4.400879436
74,Pie Chart,89,76,3.714245518
75,Pie Chart,33,35,1.087462841
76,Stack Chart,45,61,4.011227255
77,Pie Chart,33,27,2.614709844
78,Donut Chart,10,6,2.044394119
79,Donut Chart,40,50,3.339850003
80,Stack Chart,10,5,2.357552005
1,Donut Chart,55,56,0.169925001
2,Donut Chart,5,1,2.044394119
3,Stack Chart,20,40,4.330916878
4,Pie Chart,1,2,0.169925001
5,Donut Chart,10,10,0
6,Stack Chart,40,53,3.714245518
7,Pie Chart,90,70,4.330916878
8,Donut Chart,80,84,2.044394119
9,Bar Chart,99,95,2.044394119
10,Stack Chart,33,34,0.169925001
11,Donut Chart,55,42,3.714245518
12,Donut Chart,89,89,0
13,Donut Chart,70,62,3.022367813
14,Donut Chart,15,9,2.614709844
15,Stack Chart,20,26,2.614709844
16,Donut Chart,40,42,1.087462841
17,Bar Chart,98,96,1.087462841
18,Bar Chart,20,21,0.169925001
19,Donut Chart,80,70,3.339850003
20,Bar Chart,1,1,0
21,Stack Chart,90,89,0.169925001
22,Pie Chart,90,83,2.832890014
23,Pie Chart,10,8,1.087462841
24,Pie Chart,18,10,3.022367813
25,Pie Chart,90,92,1.087462841
26,Pie Chart,20,23,1.64385619
27,Stack Chart,15,10,2.357552005
28,Stack Chart,60,83,4.531381461
29,Bar Chart,66,80,3.820178962
