trialNum,Vis Type,Reported Percent,True Percent
1,Donut Chart,30,36
2,Donut Chart,80,90
3,Stack Chart,40,77
4,Pie Chart,30,43
5,Donut Chart,30,47
6,Stack Chart,60,65
7,Donut Chart,50,54
8,Pie Chart,15,18
9,Stack Chart,1,2
10,Pie Chart,60,72
11,Stack Chart,10,11
12,Donut Chart,20,34
13,Donut Chart,90,83
14,Stack Chart,10,7
15,Bar Chart,30,26
16,Pie Chart,15,19
17,Pie Chart,95,78
18,Stack Chart,90,90
19,Pie Chart,80,68
20,Bar Chart,35,36
21,Stack Chart,30,50
22,Stack Chart,50,67
23,Donut Chart,5,8
24,Bar Chart,5,2
25,Stack Chart,55,58
26,Stack Chart,20,41
27,Bar Chart,60,65
28,Bar Chart,70,64
29,Pie Chart,100,97
30,Stack Chart,20,20
31,Pie Chart,100,91
32,Donut Chart,80,88
33,Donut Chart,30,33
34,Donut Chart,90,79
35,Bar Chart,50,53
36,Bar Chart,20,33
37,Stack Chart,60,76
38,Bar Chart,40,41
39,Pie Chart,70,77
40,Stack Chart,85,89
41,Stack Chart,10,6
42,Bar Chart,90,87
43,Pie Chart,5,4
44,Donut Chart,5,13
45,Donut Chart,30,51
46,Stack Chart,10,18
47,Donut Chart,60,70
48,Donut Chart,30,25
49,Stack Chart,40,39
50,Bar Chart,95,95
51,Stack Chart,60,70
52,Stack Chart,40,45
53,Bar Chart,45,47
54,Bar Chart,20,22
55,Donut Chart,100,86
56,Bar Chart,70,72
57,Bar Chart,40,39
58,Pie Chart,10,13
59,Donut Chart,80,79
60,Donut Chart,30,41
61,Stack Chart,65,76
62,Stack Chart,30,72
63,Bar Chart,50,56
64,Bar Chart,98,94
65,Bar Chart,25,27
66,Donut Chart,45,43
67,Donut Chart,30,32
68,Pie Chart,25,31
69,Donut Chart,50,65
70,Bar Chart,75,67
71,Pie Chart,40,50
72,Pie Chart,50,51
73,Pie Chart,30,38
74,Bar Chart,15,16
75,Bar Chart,5,7
76,Pie Chart,90,88
77,Pie Chart,80,61
78,Pie Chart,1,1
79,Pie Chart,20,25
80,Pie Chart,50,65
