Participant ID,Trial Number, Visualisation, TruePercent, ReportedPercentage
283-31c75,1,pieChart,63,60
283-31c75,2,donutChart,19,15
283-31c75,4,bubbleChart,95,93
283-31c75,0,verticalBarChart,72,70
283-31c75,3,treemapChart,88,87
283-142d2,0,pieChart,71,68
283-142d2,2,donutChart,60,60
283-142d2,4,bubbleChart,47,34
283-142d2,1,verticalBarChart,94,89
283-142d2,3,treemapChart,23,11
283-20c4e,2,pieChart,45,37
283-20c4e,1,donutChart,49,42
283-20c4e,4,bubbleChart,73,86
283-20c4e,3,verticalBarChart,82,83
283-20c4e,0,treemapChart,20,20
283-f1bab,2,pieChart,27,17
283-f1bab,4,donutChart,64,55
283-f1bab,0,bubbleChart,57,50
283-f1bab,1,verticalBarChart,65,67
283-f1bab,3,treemapChart,12,11
283-6a140,1,pieChart,40,30
283-6a140,0,donutChart,20,10
283-6a140,3,bubbleChart,15,10
283-6a140,4,verticalBarChart,93,91
283-6a140,2,treemapChart,62,40
283-4f3a3,3,pieChart,38,25
283-4f3a3,4,donutChart,26,18
283-4f3a3,0,bubbleChart,67,61
283-4f3a3,1,verticalBarChart,93,93
283-4f3a3,2,treemapChart,20,18
283-a696f,0,pieChart,67,80
283-a696f,1,donutChart,26,25
283-a696f,2,bubbleChart,65,79
283-a696f,4,verticalBarChart,63,60
283-a696f,3,treemapChart,15,17
283-f0caa,4,pieChart,45,45
283-f0caa,0,donutChart,15,8
283-f0caa,3,bubbleChart,75,67
283-f0caa,2,verticalBarChart,56,54
283-f0caa,1,treemapChart,28,33
283-8abf0,2,pieChart,52,45
283-8abf0,1,donutChart,63,63
283-8abf0,3,bubbleChart,50,33
283-8abf0,4,verticalBarChart,35,29
283-8abf0,0,treemapChart,84,87
283-8ddfc,0,pieChart,90,80
283-8ddfc,3,donutChart,73,80
283-8ddfc,4,bubbleChart,91,96
283-8ddfc,2,verticalBarChart,68,75
283-8ddfc,1,treemapChart,38,33
283-f4ede,4,pieChart,23,10
283-f4ede,3,donutChart,92,100
283-f4ede,0,bubbleChart,83,60
283-f4ede,2,verticalBarChart,61,60
283-f4ede,1,treemapChart,74,70
283-97b41,4,pieChart,41,30
283-97b41,0,donutChart,63,45
283-97b41,2,bubbleChart,83,65
283-97b41,1,verticalBarChart,100,36
283-97b41,3,treemapChart,75,50
283-d477a,3,pieChart,43,41
283-d477a,1,donutChart,61,63
283-d477a,0,bubbleChart,93,97
283-d477a,4,verticalBarChart,99,100
283-d477a,2,treemapChart,65,55
283-e3d17,3,pieChart,99,90
283-e3d17,4,donutChart,81,90
283-e3d17,2,bubbleChart,92,87
283-e3d17,1,verticalBarChart,22,20
283-e3d17,0,treemapChart,91,100
283-94e0e,3,pieChart,37,50
283-94e0e,1,donutChart,14,8
283-94e0e,4,bubbleChart,38,33
283-94e0e,0,verticalBarChart,84,90
283-94e0e,2,treemapChart,52,33
283-a892e,4,pieChart,40,25
283-a892e,0,donutChart,78,71
283-a892e,2,bubbleChart,76,80
283-a892e,1,verticalBarChart,56,50
283-a892e,3,treemapChart,65,71
283-236ca,4,pieChart,82,89
283-236ca,3,donutChart,82,73
283-236ca,0,bubbleChart,86,80
283-236ca,1,verticalBarChart,51,51
283-236ca,2,treemapChart,58,44
283-7240d,2,pieChart,41,43
283-7240d,4,donutChart,48,28
283-7240d,0,bubbleChart,17,10
283-7240d,3,verticalBarChart,89,91
283-7240d,1,treemapChart,64,46
283-146a3,2,pieChart,68,75
283-146a3,3,donutChart,57,80
283-146a3,4,bubbleChart,20,14
283-146a3,1,verticalBarChart,79,87
283-146a3,0,treemapChart,93,91
283-cfa64,3,pieChart,87,80
283-cfa64,4,donutChart,84,67
283-cfa64,0,bubbleChart,82,90
283-cfa64,2,verticalBarChart,16,15
283-cfa64,1,treemapChart,47,33
283-2a771,3,pieChart,38,28
283-2a771,4,donutChart,86,78
283-2a771,1,bubbleChart,86,100
283-2a771,0,verticalBarChart,89,90
283-2a771,2,treemapChart,53,43
283-87ca4,2,pieChart,34,20
283-87ca4,0,donutChart,76,78
283-87ca4,4,bubbleChart,33,25
283-87ca4,3,verticalBarChart,85,87
283-87ca4,1,treemapChart,75,46
283-891d8,2,pieChart,40,25
283-891d8,4,donutChart,64,45
283-891d8,0,bubbleChart,68,50
283-891d8,1,verticalBarChart,67,58
283-891d8,3,treemapChart,26,11
283-a6379,3,pieChart,38,41
283-a6379,1,donutChart,97,95
283-a6379,4,bubbleChart,75,55
283-a6379,0,verticalBarChart,56,50
283-a6379,2,treemapChart,21,10
283-cfcdb,0,pieChart,26,30
283-cfcdb,2,donutChart,65,50
283-cfcdb,3,bubbleChart,91,83
283-cfcdb,4,verticalBarChart,60,66
283-cfcdb,1,treemapChart,24,10
283-95579,3,pieChart,51,32
283-95579,4,donutChart,78,68
283-95579,2,bubbleChart,28,22
283-95579,0,verticalBarChart,15,7
283-95579,1,treemapChart,83,83
283-ebc1a,2,pieChart,43,38
283-ebc1a,3,donutChart,82,82
283-ebc1a,4,bubbleChart,93,95
283-ebc1a,0,verticalBarChart,53,47
283-ebc1a,1,treemapChart,16,10
283-efb8e,3,pieChart,45,31
283-efb8e,4,donutChart,40,24
283-efb8e,1,bubbleChart,68,55
283-efb8e,0,verticalBarChart,34,31
283-efb8e,2,treemapChart,20,11
283-46cce,4,pieChart,86,78
283-46cce,2,donutChart,42,25
