guess, actual
15, 22
7, 8.4
0, 0
0, null
6, 7.7
9, 11.5
10, 10.7
8, 5.7
4.5, 3.6
7, 7.1
5.5, 5.7
4, 3.9
14, 23.9
8, 9.3
0, null
8, 6.1
9, 11.5
7, 11
0, 0
1.5, 2.2
3, 9
7, 21
2, 6.8
8, 20.1
5, 14.9
10, 24.6
1, 5
3, 5.9
8, 16.5
2, 1.7
4, 4.4
3, 4.1
2, 1.2
6, 11
4, 3
5, 6.8
2, 0.4
12, 8
3, 2.3
3, 2.1
1, 2.5
2, 9.6
3, 4.9
4, 12.6
5, 1.3
6, 3.6
7, 25.5
8, 8.7
9, 0
10, 7.6
11, 1
12, 22
13, 17.5
14, 2.9
15, 3.7
16, 5.5
17, 3
18, 1
19, 0.4
20, 7.4
8, 9.3
10, 6.4
15, 13.2
5, 3.8
1, 0.8
14, 10.1
8, 5.2
0, 0
6, 10.5
20, 22.5
15, 20.6
3, 2.8
8, 6
5, 4.1
15, 24.4
7, 3.6
2, 2.2
1.5, 1.3
9, 8.9
6, 5.9
4, 5.5
4, 5
17, 14.1
4, 8.9
20, 8.1
2, 3.3
5, 3.7
2, 4.3
4, 5.6
7, 9.7
1, 1.1
5, 5.9
5, 3.8
22, 18
1, 1
10, 15.6
10, 10.4
3, 4.1
4, 6
19, 14.5
0, null
2, 2.1
11, 8.5
6, 12.9
7, 11
7, 13.8
6, 10.4
8, 13.7
8, 8
4, 4.1
22, 14.8
2, 2.5
3, 2.6
22, 11.3
10, 5.2
17, 6.6
13, 7.6
15, 9.6
0, 0
18, 10.7
17, 15.7
2, 2.9
5, 6.3
5, 4.9
14, 11.3
17, 22
2, 1.9
17, 20.2
4, 4.1
2, 2.9
3, 4.7
5, 4.9
17, 23.4
2.5, 2.5
12, 14.8
2, 2.4
10, 13.7
3.5, 4.6
3, 2.5
4, 3.8
2, 1.8
5, 4.7
10, 7
5, 2.7
7, 5.6
2, 1.1
0, 0
0, 0
6, 4.1
2, 2
2, 1.3
2, 2.2
8, 6.3
15, 19.5
8, 9.8
7, 6.1
23, 22.5
10, 11
1, 1.6
4, 4.3
10, 8.9
1, 1
6, 2.5
8, 10
0, null
6, 2.4
12, 17.2
5, 3.9
6, 4.7
6, 5.7
10, 4.2
4, 1.6
8, 8
7, 6.2
3, 2.7
8, 4.8
3, 2.3
30, 28.2
14, 16.6
6, 7.7
.8, 1.1
7, 6.2
16, 10.9
2, 1.3
24, 24.6
10, 12.3
9, 9.7
2, 2
14, 20.5
12, 9.6
10.5, 13.1
13, 17.2
3, 1.8
4, 2.4
8, 4.7
2.5, 1.3
14, 13.2
11, 9.8
11.5, 13.5
6, 5.2
