graphtype,guess,actual,percenterror,log2error
bar,15,22,31.94318182,4.99743612
bar,7,8.4,16.79166667,4.069673528
bar,6,7.7,22.20292208,4.472677654
bar,9,11.5,21.86413043,4.450494067
bar,10,10.7,6.667056075,2.737049861
bar,8,5.7,40.47587719,5.338990442
bar,4.5,3.6,25.125,4.651051691
bar,7,7.1,1.533450704,0.6167817891
bar,5.5,5.7,3.63377193,1.861467873
bar,4,3.9,2.689102564,1.427124782
bar,14,23.9,41.54759414,5.376693034
bar,8,9.3,14.10349462,3.817980779
bar,8,6.1,31.27254098,4.966824542
bar,9,11.5,21.86413043,4.450494067
bar,7,11,36.48863636,5.189375331
bar,1.5,2.2,31.94318182,4.99743612
bar,3,9,66.79166667,6.061596209
bar,7,21,66.79166667,6.061596209
bar,2,6.8,70.71323529,6.143908362
bar,8,20.1,60.32400498,5.914660309
bar,5,14.9,66.56795302,6.056755901
bar,10,24.6,59.4745935,5.894201601
bar,1,5,80.125,6.324180547
bar,3,5.9,49.27754237,5.622858401
bar,8,16.5,51.64015152,5.690421328
bar,2,1.7,17.77205882,4.151538917
bar,4,4.4,9.215909091,3.204126486
bar,3,4.1,26.95426829,4.752441841
bar,2,1.2,66.79166667,6.061596209
bar,6,11,45.57954545,5.510314632
bar,4,3,33.45833333,5.064293677
bar,5,6.8,26.59558824,4.733115041
bar,2,0.4,400.125,8.644306962
bar,12,8,50.125,5.647458426
bar,3,2.3,30.55978261,4.933562375
bar,3,2.1,42.98214286,5.425665504
bar,8,9.3,14.10349462,3.817980779
bar,10,6.4,56.375,5.816983623
bar,15,13.2,13.76136364,3.782551531
bar,5,3.8,31.70394737,4.986590572
bar,1,0.8,25.125,4.651051691
bar,14,10.1,38.73886139,5.275709646
bar,8,5.2,53.97115385,5.754116626
bar,6,10.5,42.98214286,5.425665504
bar,20,22.5,11.23611111,3.490070891
bar,15,20.6,27.30946602,4.7713292
bar,3,2.8,7.267857143,2.861530062
bar,8,6,33.45833333,5.064293677
bar,5,4.1,22.07621951,4.464421231
bar,15,24.4,38.64959016,5.272381211
bar,7,3.6,94.56944444,6.563302216
bar,2,2.2,9.215909091,3.204126486
bar,1.5,1.3,15.50961538,3.955091005
bar,9,8.9,1.248595506,0.3203061779
bar,6,5.9,1.819915254,0.8638712718
bar,4,5.5,27.39772727,4.775984317
bar,4,5,20.125,4.330916878
bar,17,14.1,20.69237589,4.371027399
bar,4,8.9,55.18117978,5.786104397
bar,20,8.1,147.0385802,7.200050931
bar,2,3.3,39.51893939,5.304472323
bar,5,3.7,35.26013514,5.139966099
bar,2,4.3,53.61337209,5.744520973
bar,4,5.6,28.69642857,4.842799292
bar,7,9.7,27.96005155,4.805295115
bar,1,1.1,9.215909091,3.204126486
bar,5,5.9,15.37923729,3.942912052
bar,5,3.8,31.70394737,4.986590572
bar,22,18,22.34722222,4.482023609
bar,10,15.6,36.0224359,5.170823837
bar,10,10.4,3.971153846,1.989558253
bar,3,4.1,26.95426829,4.752441841
bar,4,6,33.45833333,5.064293677
bar,19,14.5,31.15948276,4.96159938
bar,2,2.1,4.886904762,2.288920989
bar,11,8.5,29.53676471,4.884439905
bar,6,12.9,53.61337209,5.744520973
bar,7,11,36.48863636,5.189375331
bar,7,13.8,49.40036232,5.626449718
bar,6,10.4,42.43269231,5.407104314
bar,8,13.7,41.73083942,5.383042036
bar,4,4.1,2.56402439,1.358409986
bar,22,14.8,48.77364865,5.608029996
bar,2,2.5,20.125,4.330916878
bar,3,2.6,15.50961538,3.955091005
bar,22,11.3,94.81526549,6.56704745
bar,10,5.2,92.43269231,6.5303313
bar,17,6.6,157.7007576,7.30104578
bar,13,7.6,71.17763158,6.153352023
bar,15,9.6,56.375,5.816983623
bar,18,10.7,68.34929907,6.094854638
bar,17,15.7,8.405254777,3.071291551
bar,2,2.9,31.15948276,4.96159938
bar,5,6.3,20.75992063,4.375729023
bar,5,4.9,2.165816327,1.114910899
bar,14,11.3,24.01880531,4.586092488
bar,17,22,22.85227273,4.514265748
bar,2,1.9,5.388157895,2.429792128
