guess, actual
13, 25.7
8, 4.4
2.5, 1.6
1.5, 3.3
3, 4.1
3, 3
20, 27.5
18, 20.1
2, 2.1
12, 7.2
2.5, 4.3
1.1, 2
8, 11
8, 7.8
3, 3.6
7, 6.2
0, null
0, 2
1, 1
5, 3.7
2, 0.8
2, 2.2
5, 4
10, 13.8
0, null
10, 20.6
5, 6.2
4, 5.5
10, 22.5
5, 13.8
12, 7.4
5, 2.4
2, 1.3
3, 3.4
15, 3.5
7, 9.8
20, 21.7
6, 5.6
10, 10
5, 2.7
3, 1.9
10, 7
10, 4.2
10, 4.8
10, 4.2
15, 9
10, 9
2, 2.2
15, 12.2
10, 6.4
3, 3
15, 13.8
25, 27.1
14, 15.5
10, 17.5
13, 17.9
4, 5
7, 14.9
4, 4.4
1, 2.9
3, 5.6
2, 2
3, 2
8, 10.5
15, 14
12, 8.1
20, 14.8
2, 1.1
12, 9.4
5, 11.4
1, 3.3
2, 2.9
25, 23
5, 7.4
4, 3.3
3, 6.8
8, 3.9
4, 4.6
2, 2
6, 9
14, 19.6
7, 9.3
19, 25.5
8, 9.9
1, 3.6
1, 1.1
1, 4
10, 8
2, 4
8, 11.4
4, 6.1
12, 13.8
7, 8.7
3, 8
8, 5.6
2, 2.4
4, 2.4
4, 10.4
16, 15.7
0, 0
13, 4.6
0, null
13, 2.4
1, 1
50, 18.2
22, 22.5
18, 8.1
25, 8
0, 0.8
5, 2
1, 0.5
18, 20.6
2, 2.5
2, 1.8
4, 6.8
8, 9.2
8, 7.7
7, 10.8
3, 3.9
0, 15.8
5, 3.6
20, 27.6
2, 3.3
4, 3.6
5, 8.7
5, 7.6
2, 5
0, 0
2, 4.1
10, 17.5
8, 14
14, 17.7
11, 11.7
2, 2.3
12, 14.2
6, 9
5, 4.3
7, 18.2
12, 21.4
2, 1.6
4, 5.8
7, 12.9
0, 0
6, 3.8
5, 8
5, 4.9
15, 13.8
3, 2.8
4, 4.3
10, 11.1
1, 1.3
24, 34.2
1, 1
4, 2.5
9, 9.6
0, 0
18, 28.4
21, 21.8
23, 12.7
14, 3.9
2, 8
26, 21
14, 4.8
15, 15.6
10, 5.6
20, 24.6
7, 5
22, 11.4
22, 21.4
14, 6.4
13, 5.8
1, 2
13, 14.5
16, 3.8
18, 7.4
4, 6.4
10, 4.1
13, 19.2
18, 1
1, 1.7
1.5, 2.6
12, 13.2
6, 4.8
5, 2.5
14, 11.7
7, 5.7
12, 11.8
3, 2.3
20, 19.6
6, 5.6
12, 12.2
5, 6
4, 5.8
4, 2.7
0, 0
10, 11
3, 3.3
4.2, 6.8
4, 3.9
10, 10
